ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่ง,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
136,ถ้ำผาพุง (เลย),4,ถ้ำ,เขาหลวง,วังสะพุง,เลย,ตะวันออกเฉียงเหนือ,17.325833,101.666389,เป็นสถานที่ปฏิบัติธรรมของพระสงฆ์,เป็นถ้ำขนาดใหญ่ปากถ้ำกว้างประมาณ 10 เมตร ถ้ำลึกประมาณ 160 เมตร บริเวณปากถ้ำประดิษฐานพระพุทธรูป และรูปหล่อสมเด็จพระพุฒาจารย์ (โต พรหมรังสี) และพระอาจารย์ประยุทธ  ธัมมยุตโต บริเวณทางขึ้นร่มรื่น
137,ถ้ำผาปู่,4,ถ้ำ,นาอ้อ,เมืองเลย,เลย,ตะวันออกเฉียงเหนือ,17.578741,101.71119,แหล่งท่องเที่ยวสำคัญของจังหวัดและเป็นแหล่งศักดิ์สิทธิ์,ถ้ำเป็นโพรงลึกลงไปใต้ดิน เป็นภูเขาหินปูน อยู่ในอาณาเขตวัดถ้ำผาปู่  ภายในมีโถงถ้ำกว้าง 3 ห้อง และมีหินงอกหินย้อยบางส่วน
138,ถ้ำทอง,4,ถ้ำ,ค้อเขียว,วาริชภูมิ,สกลนคร,ตะวันออกเฉียงเหนือ,17.255833,103.503333,เป็นสถานที่ปฏิบัติธรรมของพระสงฆ์,"มีลักษณะเป็นชะง่อนหินใหญ่ที่เกิดจากการผุกร่อนพังทลายอยู่ในเขตป่าสงวนบนภูผาทอง เทือกเขาภูพาน เดิมมีพระทอง จึงเรียกว่า ""ถ้ำพระทอง"" ปัจจุบันคงเหลือแต่พระหินสัมฤทธิ์ไม้ และศิลาจารึกสมัยเมื่อกว่า 1,000 ปีมาเเล้ว"
139,น้ำตกคำหอม,5,น้ำตก,ห้วยยาง,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.123278,104.018695,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดไม่ใหญ่มาก ค่อย ๆ ไหลลดหลั่นลงมาเป็นธารน้ำตก มีต้นกำเนิดจากเขาถ้ำดงลิงบนภูเขียวไหลลงมาสู่อ่างเก็บน้ำห้วยเดียก บริเวณโดยรอบน้ำตกมีทัศนียภาพที่สวยงามร่มรื่นมีโขดหินมากมาย เหมาะแก่การนั่งพักผ่อนชมธรรมชาติและลงเล่นน้ำได้
140,น้ำตกตาดโตน (สกลนคร),5,น้ำตก,ห้วยยาง,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.121389,104.026944,เป็นน้ำตกที่อยู่ภายในเขตพระตำหนักภูพานราชนิเวศน์,เป็นน้ำตกขนาดเล็ก ขนาดความสูงประมาณ 3 เมตร อยู่ในเขตพระตำหนักภูพานราชนิเวศน์ เป็นทางน้ำไหลที่ต่อเนื่องมาจากน้ำตกคำหอม ปลายน้ำตกเป็นอ่างเก็บน้ำภายในภูพานราชนิเวศน์
141,หนองหาร,7,แหล่งน้ำ,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.183076,104.163081,เป็นแหล่งน้ำขนาดใหญ่ที่สุดในภาคตะวันออกเฉียงเหนือ,"เป็นแหล่งน้ำที่มีความเป็นเอกลักษณ์ มีความประวัติศาสตร์หรือนิทานพื้นบ้าน ตำนาน ""พญาพังคี"" หนองหารเป็นทะเลสาบน้ำจืดที่มีชื่อเสียงและมีขนาดใหญ่ที่สุดในภาคตะวันออกเฉียงเหนือ เป็นแหล่งน้ำที่มีความสำคัญอย่างยิ่งต่อมนุษย์และสัตว์ เป็นแหล่งศึกษาอารยธรรมโบราณของชุมชน"
142,ถ้ำพระเวส,4,ถ้ำ,นาแก,นาแก,นครพนม,ตะวันออกเฉียงเหนือ,16.881832,104.470179,"เคยเป็นที่วิปัสนากรรมฐานของหลวงปู่ฝั้น อาจาโร, หลวงปู่แหวน สุจิณโณ, หลวงปู่มั่น ถูริทัตโต, หลวงตามหาบัว",เป็นถ้ำที่มีความสงบ วิเวก สวยงามมาก ความยาวของผนังถ้ำใต้ชะง่อนผา ประมาณ 200 เมตร เป็นที่ตั้งของสำนักสงฆ์ถ้ำพระเวส ปัจจุบันชื่อวัดธรรมบรรพต มีพระพุทธรูปปางต่าง ๆ ประดิษฐานอยู่
143,น้ำตกตาดขาม,5,น้ำตก,นางัว,บ้านแพง,นครพนม,ตะวันออกเฉียงเหนือ,17.952041,104.157761,แหล่งท่องเที่ยวและแหล่งธรรมชาติศึกษา,เป็นน้ำตกขนาดกลางไหลเป็นชั้น ๆ ซึ่งเกิดจากภูลังกา เกิดจากลำธารหลายสาย บนยอดเขาไหลมาบรรจบกันเป็นลำห้วยขาม เป็นน้ำตกที่ไม่สูงนัก บริเวณใกล้ ๆ มีลานหินเล็ก ๆ สำหรับพักผ่อน เฉพาะชั้นสุดท้ายจะมีแอ่งน้ำขังตลอดปี เสียงน้ำตกดังก้องไปทั่วบริเวณโดยรอบร่มรื่นสวยงามมาก
144,น้ำตกตาดโพธิ์,5,น้ำตก,ไผ่ล้อม,บ้านแพง,นครพนม,ตะวันออกเฉียงเหนือ,17.98545,104.14003,แหล่งท่องเที่ยวและแหล่งธรรมชาติศึกษา,เป็นน้ำตกขนาดเล็ก 3 ชั้น มีน้ำเฉาะช่วงฤดูฝน บริเวณโดยรอบยังเป็นป่าที่อุดมสมบูรณ์ เป็นแหล่งท่องเที่ยวและศึกษาธรรมชาติในจังหวัดนครพนม
145,สวนสาธารณะศรีโคตรบูรณ์ (บึงใหญ่),7,แหล่งน้ำ,ธาตุพนม,ธาตุพนม,นครพนม,ตะวันออกเฉียงเหนือ,17.416111,104.78,เป็นสถานที่พักผ่อนหย่อนใจและสวนสุขภาพ,เป็นหนองน้ำที่เกิดจากการทิ้งระเบิดในสมัยสงครามอินโดจีนเกิดเป็นหลุมบ่อ ต่อมามีน้ำขังในบึงตลอดปี ปัจจุบันบึงใหญ่เป็นสถานที่พักผ่อนหย่อนใจของชาวอำเภอธาตุพนม
146,แก่งกะเบา,2,แก่ง,โป่งขาม,หว้านใหญ่,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.801667,104.733056,แหล่งท่องเที่ยวสำคัญริมฝั่งแม่น้ำโขง,มีลักษณะเป็นแก่งหินยาวกลางลำน้ำโขง บนฝั่งมีลานหินกว้าง เป็นสถานที่ท่องเที่ยวพักผ่อนหย่อนใจที่สำคัญริมแม่น้ำโขงของจังหวัดมุกดาหาร
147,ภูผาเทิบ,3,ภูเขา,นาสีนวน,เมืองมุกดาหาร,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.439444,104.756667,แหล่งท่องเที่ยวที่สำคัญของจังหวัดและแหล่งธรรมชาติศึกษา,เป็นกลุ่มหินทรายหลายรูปแบบวางตัวเรียงซ้อนกันคล้ายกับรูปทรงต่าง ๆ บริเวณรอบ ๆ เต็มไปด้วยป่าเต็งรัง ในช่วงฤดูฝน ฤดูหนาวจะเต็มไปด้วยพันธุ์ไม้ดอกอันงดงามท่ามกลางอากาศเย็นสบายสดชื่น
148,ภูถ้ำพระ (มุกดาหาร),3,ภูเขา,นาสีนวน,เมืองมุกดาหาร,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.428873,104.789034,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นภูเขาลูกใหญ่ มีที่ราบกว้างใหญ่อยู่หลังเขา สภาพป่าค่อนข้างสมบูรณ์ เป็นแหล่งกำเนิดต้นน้ำลำธาร มีน้ำซับหลายแห่ง มีน้ำตกที่สวยงาม เรียกว่า น้ำตกภูถ้ำพระ พื้นที่เป็นลานหินมีหน้าผายื่นออกมา ใต้หน้าผามีถ้ำประดิษฐานพระพุทธรูปโบราณ บริเวณหน้าผาแห่งนี้เป็นจุดชมทัศนียภาพชายแดนฝั่งไทย-ลาว
149,ถ้ำฝ่ามือแดง,4,ถ้ำ,นาสีนวน,เมืองมุกดาหาร,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.465,104.770556,"มีภาพเขียนสมัยก่อนประวัติศาสตร์อายุประมาณ 5,000 ปี และเป็นแหล่งธรรมชาติศึกษา",เป็นเพิงผาหินทราย หินด้านบนถล่มลงมา ทำให้กลายเป็นช่องทางเดินไหล่เขา เพิงผามีลักษณะยาวแต่แคบขนาดกว้าง 3 เมตร และยาวประมาณ 60 เมตร ลักษณะดินเป็นดินทราย พบภาพเขียนสีสมัยก่อนประวัติศาสตร์รูปฝ่ามือ ภาพคน ภาพสัตว์ ภาพอาวุธ ภาพสัญลักษณ์ และภาพอื่น ๆ ที่จำแนกรูปทรงไม่ได้
150,น้ำตกตาดโตน (มุกดาหาร),5,น้ำตก,โนนยาง,หนองสูง,มุกดาหาร,ตะวันออกเฉียงเหนือ,16.494321,104.312936,เป็นเอกลักษณ์ของท้องถิ่น,เป็นน้ำตกขนาดเล็ก 2 ชั้น สูงราว 7 เมตร กว้าง 30 เมตร มีแอ่งน้ำสำหรับเล่นน้ำ มีน้ำไหลตลอดทั้งปีมีแนวราบยาวสวยงาม
151,ภูสิงห์ (กาฬสินธุ์),3,ภูเขา,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.714722,103.513611,เป็นสถานที่พักผ่อนหย่อนใจมองเห็นทิวทัศน์ในเขื่อนลำปาว,ภูสิงห์ อยู่บนเทือกเขาภูพาน เป็นภูเขาหินทรายที่เกิดจากการยกตัวของเปลือกโลก บนยอดเขา คือ พุทธสถานภูสิงห์เป็นที่ประดิษฐานพระพรหมภูมิปาโล ซึ่งเป็นพระพุทธรูปปางมารวิชัย มีพระวรกายสง่างาม ภูสิงห์ เป็นสถานพักผ่อนที่ร่มรื่น มองเห็นทิวทัศน์ทุ่งนาและน้ำในเขื่อนลำปาว
152,ภูปอ,3,ภูเขา,ภูปอ,เมืองกาฬสินธุ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.624444,103.625833,เป็นที่ประดิษฐานพระพุทธรูปปางไสยาสน์ 2 องค์ ฝีมือช่างเผ่าลัวะ สมัยทวารวดี,เป็นภูเขาหินทรายตั้งอยู่ในเทือกเขาภูพาน เป็นแหล่งศิลปะถ้ำสมัยประวัติศาสตร์ มีภาพสลักรูปพระนอนบนแผ่นหินใต้เพิงผา ประชาชนในท้องถิ่นได้จัดงานสมโภชน์พระพุทธไสยาสน์ประมาณเดือนเมษายนของทุกปี
153,น้ำตกตาดทอง,5,น้ำตก,หนองผือ,เขาวง,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.760619,104.132572,เป็นเอกลักษณ์ของท้องถิ่น,เป็นน้ำตกที่มีความสวยงามด้วยโขดหินสลับซับซ้อน ในฤดูฝนมีน้ำมาก จะเป็นช่วงที่สวยงามที่สุด บริเวณน้ำตกมีลักษณะเป็นรู (Pot Hole) เกิดจากการกระแทกของน้ำ บริเวณโดยรอบร่มครึ้มด้วยป่าไม้
154,ภูผาผึ้ง (สะพานหิน),3,ภูเขา,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,16.545278,104.13,เป็นเอกลักษณ์ของท้องถิ่นและเป็นแหล่งศึกษาธรรมชาติ,เป็นลานหินกว้างบนยอดเขา มีรูปทรงที่แปลกตา ลาดไปสู่แอ่งน้ำเล็ก ๆ อยู่ในเขตป่าสงวนดงหมู และบนยอดเขาสามารถมองเห็นวิวป่าที่สมบูรณ์ มีเทศกาลของชาวภูไทในช่วงเดือนตุลาคมบนลานหิน
155,หนองบัว (มหาสารคาม),7,แหล่งน้ำ,โคกพระ,กันทรวิชัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.317222,103.2975,เป็นอ่างเก็บน้ำเพื่อใช้ทำน้ำประปา เพื่อเพาะปลูก และเป็นที่จัดงานลอยกระทงทุกปี,"เป็นหนองน้ำธรรมชาติขนาดใหญ่ ใช้ประโยชน์เป็นอ่างเก็บน้ำมีความจุประมาณ 25,000 ลูกบาศก์เมตร เดิมมีบัวอยู่มาก มีศาลากันทรานุสรณ์ซึ่งเป็นสมบัติของชาวกันทรวิชัย และมีรูปปั้นกินรี เป็นสถานที่พักผ่อนหย่อนใจของประชาชน"
156,หินร่อง (มหาสารคาม),10,ธรณีสัณฐานและภูมิลักษณวรรณา,ดอนกลาง,โกสุมพิสัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,16.2,102.9,เป็นลานบุญบ้องไฟขอฝนของชาวบ้านเป็นบางครั้งในฤดูแล้ง,เป็นลานหินกว้าง 20 เมตร ยาว 150 เมตร บนลานหินมีหลุมบ่อ (Pot Hole) ที่เกิดจากการถูกน้ำกัดเซาะจนเป็นร่องลึกหลายสิบหลุม บางหลุมมีน้ำขังอยู่ตลอดปี กลางลานหินมีพระพุทธรูปปางประทานพร สูงประมาณ 160 เซนติเมตร ใกล้ลานหินเป็นที่พักสงฆ์หินร่อง บริเวณโดยรอบเป็นป่าห่างไกลชุมชน
157,ผาน้ำย้อย,3,ภูเขา,ผาน้ำย้อย,หนองพอก,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.346667,104.316944,เป็นที่สรงน้ำพระในช่วงสงกรานต์และบนยอดเขาเขียวเหนือผาน้ำย้อยกำลังสร้างพระมหาเจดีย์ชัยบาดาล,เป็นภูเขาหินขนาดใหญ่ ที่มีลักษณะเป็นหน้าผา ซึ่งมีน้ำตกไหลและซึมตลอดปี อยู่บนภูเขาเขียว ซึ่งบนยอดภูเขียวสามารถมองเห็นทัศนียภาพอันสวยงาม เป็นศูนย์รวมจิตใจและพลังศรัทธาในพระพุทธศาสนาของชาวร้อยเอ็ด
158,บึงพลาญชัย,7,แหล่งน้ำ,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.279722,104.558333,แหล่งท่องเที่ยวที่สำคัญของและเป็นเอกลักษณ์ของจังหวัด,เป็นบึงที่มีเอกลักษณ์ของท้องถิ่น มีเกาะอยู่กลางบึง เป็นที่ประดิษฐานศาลเจ้าพ่อมเหศักดิ์ หลักเมือง และพระพุทธโคดมมงคลศาสดาศิริพัฒนา ปัจจุบันเป็นสวนสาธารณะประจำจังหวัด
159,ภูถ้ำพระ (ยโสธร),3,ภูเขา,กุดเชียงหมี,เลิงนกทา,ยโสธร,ตะวันออกเฉียงเหนือ,16.278915,104.557868,เป็นที่บำเพ็ญสมาธิของพระภิกษุ  สามเณร และแม่ชี,"เป็นชะง่อนหินที่เกิดจากการชะล้างพังทลายของดินหินด้านล่าง อันเนื่องมาจากน้ำและลม เกิดเป็นเพิงผาถ้ำ เรียกว่า ""ภูถ้ำพระ"" เนื่องจากมีพระพุทธรูปอยู่ในถ้ำเป็นจำนวนมากล้วนแต่เป็นพระพุทธรูปโบราณที่ศักดิ์สิทธิ์"
160,น้ำตกเหวสุวัต,5,น้ำตก,หมูสี,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.43559,101.413916,เป็นน้ำตกที่มีชื่อเสียงมากในอุทยานแห่งชาติเขาใหญ่,เป็นน้ำตกที่มีชื่อเสียงมากในอุทยานแห่งชาติเขาใหญ่ น้ำตกมี 1 ชั้น ลักษณะเป็นสายน้ำตกลงมาจากหน้าผาสูงประมาณ 20 เมตร บริเวณด้านล่างของน้ำตกเป็นแอ่งน้ำและลำธาร เหมาะที่จะลงเล่นน้ำ บริเวณโดยรอบน้ำตกอุดมด้วยป่าไม้เเละพันธุ์พืช
161,น้ำตกหลังเหว,5,น้ำตก,ปากช่อง,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.733333,101.378611,เป็นเอกลักษณ์ของท้องถิ่น,เป็นน้ำตกขนาดเล็กชั้นเดียว มีน้ำผุดจากใต้ดินแล้วไหลลงจากผาสูงประมาณ 80 เมตร ตามรอยแตกของเปลือกโลกในเขตป่าดิบชื้นดงพญาเย็น อยู่บริเวณภายในวัดธารน้ำตกหลังเหว ในฤดูฝนจะมีน้ำมากและเป็นสีแดง ในหน้าเเล้งจะมีน้ำน้อย
162,บึงกระโทก,7,แหล่งน้ำ,กระโทก,โชคชัย,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.730833,102.1675,"เป็นเอกลักษณ์ของท้องถิ่นมีชื่อเป็นทางการว่า ""บึงโชคชัย""",เป็นบึงน้ำธรรมชาติ เป็นสัญลักษณ์ของท้องถิ่นในอำเภอโชคชัย เป็นสถานที่พักผ่อนหย่อนใจของประชาชน และเป็นสถานที่จัดงานบุญประเพณีท้องถิ่น ได้แก่ งานลอยกระทง และงานออกพรรษา
163,ถ้ำวัวแดง (นครราชสีมา),4,ถ้ำ,เฉลียง,ครบุรี,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.491389,102.276944,เป็นสถานที่ปฏิบัติธรรมของพระสงฆ์และชาวบ้านเชื่อว่าเป็นสถานที่ศักดิ์สิทธิ์มีหลวงปู่โลกอุดรคุ้มครองอยู่,มีลักษณะเป็นชะง่อนหินเกิดจากการเปลี่ยนรูปของหินทรายเป็นเพิงผา ลักษณะคล้ายถ้ำ ภายในถ้ำมีรูปสลักหินผนังถ้ำเป็นรูปเทวดานั่งบนหลังวัวแดง ชาวบ้านเชื่อว่าเป็นสถานที่ศักดิ์สิทธิ์ มีหลวงปู่โลกอุดรคุ้มครองถ้ำนี้อยู่
164,ภูกระโดง,3,ภูเขา,เสม็ด,เมืองบุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.939029,103.093945,เป็นที่ประดิษฐานพระพุทธรูปคู่บ้านคู่เมืองบุรีรัมย์และเป็นแหล่งศึกษาธรรมชาติ,เป็นภูเขาไฟเก่าแก่ที่มองเห็นลักษณะปากปล่องได้ชัดเจน มีสระน้ำมณีวรรณอยู่ทางขวามือก่อนถึงยอดเขา สระน้ำนี้เชื่อว่าเดิมเป็นปากปล่องภูเขาไฟ บนยอดเขาเป็นลานกว้าง มีพันธุ์ไม้พื้นเมืองหลายชนิด
165,ภูพนมรุ้ง,3,ภูเขา,ตาเป๊ก,เฉลิมพระเกียรติ,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.531667,102.9425,เป็นที่ตั้งของปราสาทพนมรุ้งซึ่งเป็นสถานที่ท่องเที่ยวสำคัญของประเทศ,เป็นภูเขาไฟเก่าที่ดับสนิทแล้ว เป็นส่วนหนึ่งของทิวเขาพนมดงรัก มีขนาดใหญ่ อุดมสมบูรณ์ด้วยทรัพยากรป่าไม้ และสัตว์ป่า เป็นที่ตั้งของปราสาทพนมรุ้ง บนยอดเขาซึ่งเป็นโบราณสถานในศิลปเขมรที่มีความงดงาม และเป็นสถานที่ท่องเที่ยวที่มีความสำคัญมากที่สุดแห่งหนึ่งในประเทศไทย
166,ภูพระอังคาร,3,ภูเขา,เจริญสุข,เฉลิมพระเกียรติ,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.534196,102.834758,เป็นสถานที่สำคัญทางพระพุทธศาสนาของจังหวัด,เป็นภูเขาขนาดเล็ก ตั้งโดดเด่นบริเวณทุ่งนา มีรูปร่างกลมรี วางตัวในแนวเหนือ-ใต้ เป็นภูเขาไฟเก่าดับสนิทแล้วในเทือกเขาพนมดงรัก บนยอดเขาภูพระอังคาร เป็นที่ตั้งของวัดเขาพระอังคาร เป็นวัดที่สวยงามสร้างเลียนแบบสถาปัตยกรรมสมัยต่าง ๆ หลายรูปแบบ
167,ผามออีแดง,3,ภูเขา,เสาธงชัย,กันทรลักษ์,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.403814,104.687761,เป็นจุดชมทัศนียภาพทิวเขาพนมดงรัก,เป็นลาดหินกว้าง เป็นจุดชมทัศนียภาพทิวเขาพนมดงรัก มองเห็นแผ่นดินประเทศกัมพูชาที่อยู่ต่ำลงไปอย่างเป็นมุมกว้าง และสามารถมองเห็นปราสาทเขาพระวิหารที่ห่างออกไป 1 กิโลเมตร ซึ่งเป็นเอกลักษณ์หรือสัญลักษณ์ของท้องถิ่น
168,น้ำตกสำโรงเกียรติ (น้ำตกปีศาจ),5,น้ำตก,บักคอง,ขุนหาญ,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.509167,104.486389,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เกิดจากต้นน้ำซึ่งอยู่ห่างจากน้ำตกประมาณ 3 กิโลเมตร เหนือน้ำตกเป็นธารน้ำไหลไปตามลานหิน ในฤดูฝนน้ำไหลตกลงพื้นเสียงดังสนั่นก้องไปทั่วทั้งป่า น้ำตกแห่งนี้เป็นที่ตั้งหน่วยปฏิบัติการทหารพราน ซึ่งยังปรากฎร่องรอยหลุมบังเกอร์ให้เห็นทั้งบริเวณ
169,น้ำตกห้วยจันทร์,5,น้ำตก,ห้วยจันทร์,ขุนหาญ,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.528889,104.359444,เป็นเอกลักษณ์ของท้องถิ่นทัศนียภาพสวยงามและเกี่ยวข้องกับประวัติศาสตร์,เป็นน้ำตกขนาดกลางที่สวยงาม มีลักษณะเป็นลำธารสายกว้างไหลลดหลั่นมาตามชั้นหิน มี 3 ชั้น มีต้นกำเนิดจากเทือกเขาบรรทัด บริเวณเขาเสลา (ภูเสลา) แล้วไหลลงสู่แม่น้ำมูลที่อำเภอเมือง จังหวัดศรีสะเกษ มีน้ำตลอดปี สามารถลงเล่นน้ำได้บริเวณน้ำตกร่มรื่น รายล้อมด้วยพันธุ์ไม้ป่า เป็นแหล่งพักผ่อนหย่อนใจของประชาชน
170,หนองไพรบึง,7,แหล่งน้ำ,ไพรบึง,ไพรบึง,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.761944,104.363333,"เป็นแหล่งน้ำความจุ 300,000 ลูกบาศก์เมตร สำหรับราษฏร 400 ครอบครัว พื้นที่เกษตรกรรม 1,000 ไร่","เป็นบึงธรรมชาติลึกประมาณ 3 เมตร ได้รับการพัฒนาเป็นแหล่งน้ำความจุประมาณ 300,000 ลูกบาศก์เมตร โดยกองอำนวยการกลางรักษาความปลอดภัยแห่งชาติ (กรป.กลาง) เมื่อประมาณ พ.ศ. 2524 สำหรับราษฎรประมาณ 400 ครัวเรือน และพื้นที่เกษตรประมาณ 1,000 ไร่"
171,แก่งสะพือ,2,แก่ง,พิบูลมังสาหาร,พิบูลมังสาหาร,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.245786,105.243826,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นแหล่งท่องเที่ยวทางธรรมชาติที่เป็นเอกลักษณ์ของอำเภอพิบูลมังสาหาร เป็นแก่งขนาดใหญ่สวยงามกลางลำน้ำมูล  เป็นแก่งหินที่มีหินน้อยใหญ่สลับซ้อนกันเหมือนงูใหญ่ในลำน้ำมูล เมื่อกระแสน้ำไหลผ่านกระทบหินแล้วเกิดเป็นฟองสีขาวมีเสียงดังตลอดเวลา ในฤดูแล้งจะเห็นเป็นชั้นของแก่งคล้ายน้ำตก ส่วนฤดูฝนน้ำหลากทำให้ไม่สามารถมองเห็นแก่งได้
172,แก่งตะนะ,2,แก่ง,คำเขื่อนแก้ว โขงเจียม,สิรินธร โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.300833,105.474444,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นแก่งกลางลำน้ำมูลที่ใหญ่ที่สุด เป็นโขดหินทรายขนาดมหึมา ลักษณะเป็นเกาะหินกลางลำน้ำมูล อยู่ด้านล่างดอนตะนะ กระแสน้ำเชี่ยวกราก เสียงกระแสน้ำไหลดังก้องทั่วผืนป่า สังเกตเกาะกลางแก่งจะเห็นแท่งปูนสี่เหลี่ยมสร้างขึ้นในสมัยฝรั่งเศสล่าอาณานิคม เพื่อเป็นเครื่องหมายชี้ร่องน้ำในการเดินเรือ
173,ผาแต้ม,10,ธรณีสัณฐานและภูมิลักษณวรรณา,ห้วยไผ่,โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.399255,105.511819,เป็นอุทยานแห่งชาติแห่งแรกในประเทศไทยและมีภาพเขียนสีที่โบราณที่สุดในประเทศไทย,เป็นหน้าผาสูงที่สวยงามตามธรรมชาติ ในบริเวณที่เป็นหน้าผา จะปรากฏภาพเขียนสีโบราณโดยฝีมือมนุษย์ยุคก่อนประวัติศาสตร์เรียงรายตามความยาวของหน้าผา มีไม่ต่ำกว่า 300 ภาพ ซึ่งเป็นจำนวนภาพเขียนสีโบราณที่มากที่สุดเท่าที่เคยค้นพบในประเทศไทยและในต่างประเทศ
174,เสาเฉลียง,10,ธรณีสัณฐานและภูมิลักษณวรรณา,ห้วยไผ่,โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.404465,105.502229,เป็นหลักฐานทางธรณีวิทยาว่าบริเวณนี้เคยเป็นทะเลมาก่อน,เป็นแท่งหินทรายขนาดใหญ่ที่มีหินแผ่นเทินทับอยู่บนแท่งหินนั้น เป็นลักษณะที่เกิดขึ้นตามธรรมชาติ สืบเนื่องมาจากกระบวนการกัดเซาะและกัดกร่อนด้วยอิทธิพลของน้ำและลม ซึ่งหินดังกล่าวจะปรากฏเห็นซากเปลือกหอย กรวด ทราย อยู่ในแผ่นดินขนาดใหญ่ นักธรณีวิทยาสันนิษฐานว่าบริเวณนี้เคยเป็นทะเลมาก่อน แล้วมีการกัดกร่อนจนกลายเป็นเช่นที่เห็นในปัจจุบัน
175,หนองสามขา (อำนาจเจริญ),7,แหล่งน้ำ,รัตนวารี,หัวสะพาน,อำนาจเจริญ,ตะวันออกเฉียงเหนือ,15.694327,104.484727,เป็นแหล่งน้ำดิบเพื่อการประปาและจับสัตว์น้ำของชาวบ้าน,เป็นหนองน้ำธรรมชาติขนาดใหญ่ที่เต็มไปด้วยดอกบัวอันสวยงาม ซึ่งไหลมาจากห้วยสามขา มีพื้นที่ประมาณ 300 - 400 ไร่ ตั้งอยู่บนถนนสายหลักเป็นสถานที่อนุรักษ์นกน้ำนานาชาติ และยังเป็นที่นิยมของนักตกปลา
176,ถ้ำเขาเกรียบ,4,ถ้ำ,บ้านควน,หลังสวน,ชุมพร,ใต้,9.81767,99.037976,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นสถานที่ศักดิ์สิทธิ์,เป็นถ้ำหินปูนที่เกิดจากโครงสร้างธรรมชาติที่ดี หายากและสวยงามและเป็นสถานที่ศักดิ์สิทธิ์หรือที่เคารพบูชา ภายในเป็นโพรงถ้ำขนาดใหญ่เต็มไปด้วยหินงอกหินย้อย เพดานบางส่วนเป็นช่องแสงสามารถลอดเข้ามาได้จำนวน 2 ช่อง เมื่อกระทบกับหินก็จะเกิดความแวววาวสวยงาม
177,น้ำตกกะเปาะ,5,น้ำตก,หงษ์เจริญ,ท่าแซะ,ชุมพร,ใต้,10.743242,99.212622,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่หายาก และทัศนียภาพสวยงาม เป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่มีขนาดเล็กอยู่ในเป็นวนอุทยานน้ำตกกะเปาะ เกิดจากป่าต้นน้ำอันอุดมสมบูรณ์ มีน้ำไหลตลอดทั้งปี น้ำตกมีลักษณะคล้ายฝายรูปโค้ง กว้างประมาณ 20 เมตร สูงประมาณ 2 เมตร เป็นลำคลองทอดยาว และมีน้ำตก และแก่งเล็ก ๆ ระหว่างลำคลอง มีทัศนียภาที่สวยงามและยังคงมีทรัพยากรธรรมชาติที่สมบูรณ์
