ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ประกาศมรดกจังหวัด
ชุมชนเมืองเก่า,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.0302322,103.9357286,
ชุมชนท่าม่วง,ท่าม่วง,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.11365667,103.8718476,
ชุมชนบ้านเมืองไพร,เมืองไพร,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.02348981,103.9762556,
เกาะพยาม,ปากน้ำ,เมืองระนอง,ระนอง,ใต้,9.740255148,98.42188223,
เกาะเหลา,ปากน้ำ,เมืองระนอง,ระนอง,ใต้,9.913004688,98.56961573,
ตลาดแกลง,ทางเกวียน,แกลง,ระยอง,ตะวันออก,12.77937709,101.6519639,
ปากน้ำประแสร์,ปากน้ำประแสร์,แกลง,ระยอง,ตะวันออก,12.70430562,101.7035899,27/12/2023
ตลาดกระเฉด,กระเฉด,เมืองระยอง,ระยอง,ตะวันออก,12.66534785,101.5025699,
ย่านถนนยมจินดาและถนนชุมพล,ท่าประดู่,เมืองระยอง,ระยอง,ตะวันออก,12.67877646,101.2798299,27/12/2023
ตลาดบ้านเพ,เพ,เมืองระยอง,ระยอง,ตะวันออก,12.6224615,101.4306177,
ชุมชนบ้านคลองมอญ,ดอนกรวย,ดำเนินสะดวก,ราชบุรี,กลาง,13.58918511,99.96118317,
ชุมชนตลาดน้ำดำเนินสะดวก,ดำเนินสะดวก,ดำเนินสะดวก,ราชบุรี,กลาง,13.51940542,99.95595474,
ชุมชนตลาดน้ำหลักห้า (คลองโพธิ์หัก),ประสาทสิทธิ์,ดำเนินสะดวก,ราชบุรี,กลาง,13.5569518,100.0410259,
ตลาดน้ำคลองลัดพลี,สีหมื่น,ดำเนินสะดวก,ราชบุรี,กลาง,13.52484366,99.95355084,
ชุมชนตลาดบางแพ,บางแพ,บางแพ,ราชบุรี,กลาง,13.69088779,99.93207878,
ชุมชนบ้านโป่ง (ตลาดคุ้งพะยอม),บ้านโป่ง,บ้านโป่ง,ราชบุรี,กลาง,13.81428967,99.87262156,
ชุมชนรอบสถานีรถไฟปากท่อ,ปากท่อ,ปากท่อ,ราชบุรี,กลาง,13.37609726,99.84458104,
ชุมชนตลาดเจ็ดเสมียน,เจ็ดเสมียน,โพธาราม,ราชบุรี,กลาง,13.63597915,99.82195587,22/12/2021
ชุมชนลาวเวียงบ้านเลือก,บ้านเลือก,โพธาราม,ราชบุรี,กลาง,13.71175988,99.89115996,
ชุมชนตลาดโพธาราม,โพธาราม,โพธาราม,ราชบุรี,กลาง,13.69217837,99.85326805,22/12/2021
ชุมชนตลาดถนนเขางู,หน้าเมือง,เมืองราชบุรี,ราชบุรี,กลาง,13.5437717,99.81171005,
ชุมชนตลาดเมืองราชบุรี,หน้าเมือง,เมืองราชบุรี,ราชบุรี,กลาง,13.53276159,99.82329189,
ชุมชนบ้านหมี่,บ้านหมี่,บ้านหมี่,ลพบุรี,กลาง,15.04177783,100.539509,13/7/2023
ชุมชนย่านถนนสีหราชเดโชชัย,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,กลาง,14.79664029,100.6200051,
ชุมชนตลาดเมืองลพบุรี,ท่าหิน,เมืองลพบุรี,ลพบุรี,กลาง,14.80252565,100.6114137,
ชุมชนบางขันหมาก,บางขันหมาก,เมืองลพบุรี,ลพบุรี,กลาง,14.80694601,100.590581,13/7/2023
ลำปางหลวง,ลำปางหลวง,เกาะคา,ลำปาง,เหนือ,18.21811556,99.38846412,19/1/2023
ไหล่หิน,ลำปางหลวง,เกาะคา,ลำปาง,เหนือ,18.21075791,99.33888027,19/1/2023
บ้านกล้วย,กล้วยแพะ,เมืองลำปาง,ลำปาง,เหนือ,18.20453993,99.49125975,19/1/2023
ปงสนุก,เวียงเหนือ,เมืองลำปาง,ลำปาง,เหนือ,18.29527723,99.49718824,
กาดกองต้า,สวนดอก,เมืองลำปาง,ลำปาง,เหนือ,18.2920949,99.49920286,
บ้านหลุก,นาครัว,แม่ทะ,ลำปาง,เหนือ,18.13127655,99.52775894,19/1/2023
พระบาทห้วยต้ม,ตะเคียนปม,ทุ่งหัวช้าง,ลำพูน,เหนือ,17.73299586,98.95488301,17/8/2022
บ้านห้วยไซกลาง,ห้วยหยาบ,บ้านธิ,ลำพูน,เหนือ,18.69569413,99.16053263,17/8/2022
บ้านหนองดู่,บ้านเรือน,ป่าซาง,ลำพูน,เหนือ,18.52147737,98.89569485,17/8/2022
บ้านดอนหลวง,แม่แรง,ป่าซาง,ลำพูน,เหนือ,18.49070066,98.92466262,17/8/2022
วัดประตูป่า,ประตูป่า,เมืองลำพูน,ลำพูน,เหนือ,18.62125864,99.00240903,17/8/2022
บ้านทุ่งยาว,ศรีบัวบาน,เมืองลำพูน,ลำพูน,เหนือ,18.50409021,99.07491349,17/8/2022
วัดบ้านปาง,ศรีวิชัย,ลี้,ลำพูน,เหนือ,18.11409076,98.89065134,17/8/2022
ชุมชนนาป่าหนาด,เขาแก้ว,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.79652151,101.7401435,26/11/2021
ชุมชนบ้านน้อย,เชียงคาน,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.9072433,101.6975,26/11/2021
ชุมชนเก่าเชียงคาน,เชียงคาน,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.89606704,101.6594946,26/11/2021
ชุมชนผาแบ่น,เชียงคาน,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.90711275,101.7256092,26/11/2021
ชุมชนบ้านนาซ่าว,นาซ่าว,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.82754124,101.6704818,26/11/2021
ชุมชนบ้านกลาง,ปากตม,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,17.8013334,101.623198,26/11/2021
ชุมชนตลาด,ด่านซ้าย,ด่านซ้าย,เลย,ตะวันออกเฉียงเหนือ,17.27940328,101.14579,31/10/2023
ชุมชนปากชม,ปากชม,ปากชม,เลย,ตะวันออกเฉียงเหนือ,18.02482777,101.8745185,31/10/2023
ชุมชนบ้านนาอ้อ,นาอ้อ,เมืองเลย,เลย,ตะวันออกเฉียงเหนือ,17.58093996,101.7315,31/10/2023
ชุมชนดอนเกลือ อ.ราษีไศล,ดู่,ราษีไศล,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,15.40540717,104.1621756,
ชุมชนเมืองคงโคก อ.ราษีไศล,เมืองคง,ราษีไศล,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,15.35418545,104.1744226,
ชุมชนบ้านเมืองแคน อ.ราษีไศล,เมืองแคน,ราษีไศล,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,15.36012747,104.2154839,
ชุมชนบ้านน้ำอ้อมน้อย อ.ราษีไศล,หว้านคำ,ราษีไศล,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,15.39687637,104.20165,
ชุมชนไทโส้,กุสุมาลย์,กุสุมาลย์,สกลนคร,ตะวันออกเฉียงเหนือ,17.3355025,104.3282994,
ชุมชนบ้านโพธิไพศาล อ.กุสุมาลย์,โพธิไพศาล,กุสุมาลย์,สกลนคร,ตะวันออกเฉียงเหนือ,17.37119347,104.3632831,
ชุมชนผู้ไท อ.พรรณานิคม,พรรณา,พรรณานิคม,สกลนคร,ตะวันออกเฉียงเหนือ,17.35333969,103.8516218,
ชุมชนบ้านป่าหว้าน,เชียงเครือ,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.2488407,104.1114602,
ชุมชนบ้านหนองสนม,เชียงเครือ,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.28539257,104.1406066,
ชุมชนท่าแร่,ท่าแร่,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.25448109,104.1827821,
ชุมชนย่านเมืองเก่าสกลนคร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.16585803,104.1508292,
ชุมชนบ้านโนนหอม,โนนหอม,เมืองสกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,17.05133622,104.2140606,
เกาะยอ,เกาะยอ,เมืองสงขลา,สงขลา,ใต้,7.164526645,100.5418893,20/1/2023
ย่านเมืองเก่าสงขลา,บ่อยาง,เมืองสงขลา,สงขลา,ใต้,7.196017048,100.5905883,
วิถีพุทธคลองแดน,คลองแดน,ระโนด,สงขลา,ใต้,7.915547234,100.304916,20/1/2023
คูขุด,คูขุด,สทิงพระ,สงขลา,ใต้,7.461897161,100.4137735,20/1/2023
ท่านางหอม,น้ำน้อย,หาดใหญ่,สงขลา,ใต้,7.118682398,100.5242425,20/1/2023
ย่านการค้าเก่าชุมทางรถไฟหาดใหญ่,หาดใหญ่,หาดใหญ่,สงขลา,ใต้,7.00346506,100.4688822,20/1/2023
เกาะใหญ่,ทุ่งนุ้ย,ควนกาหลง,สตูล,ใต้,6.835569325,100.108038,
บ้านควน,ควนโดน,ควนโดน,สตูล,ใต้,6.701054231,100.0609123,
ตลาดฉลุง,ฉลุง,ควนโดน,สตูล,ใต้,6.72689249,100.0646919,
ตลาดทุ่งหว้า,ทุ่งหว้า,ทุ่งหว้า,สตูล,ใต้,7.105673053,99.75307711,
เกาะหลีเป๊ะ,เกาะสาหร่าย,เมืองสตูล,สตูล,ใต้,6.487455096,99.30186005,
เกาะอาดัง,เกาะสาหร่าย,เมืองสตูล,สตูล,ใต้,6.542630824,99.30003984,
ตันหยงโป,ตันหยงโป,เมืองสตูล,สตูล,ใต้,6.588867,99.95581271,
ตำมะลัง,ตำมะลัง,เมืองสตูล,สตูล,ใต้,6.539224445,100.0558667,
ย่านถนนบุรีวานิช,พิมาน,เมืองสตูล,สตูล,ใต้,6.613221217,100.0650787,
เกาะบุโหลนดอน บุโหลนเล,ปากน้ำ,ละงู,สตูล,ใต้,6.828949719,99.53412624,
ปากละงู,ละงู,ละงู,สตูล,ใต้,6.825960546,99.79281305,
ชุมชนตลาดคลองสวน,คลองสวน,บางบ่อ,สมุทรปราการ,กลาง,13.66233418,100.9562858,
ชุมชนตลาดบางบ่อ,บางบ่อ,บางบ่อ,สมุทรปราการ,กลาง,13.57420943,100.837189,
ชุมชนตลาดบางพลี,บางพลีใหญ่,บางพลี,สมุทรปราการ,กลาง,13.60560465,100.7090425,
ชุมชนเมืองนครเขื่อนขันธ์,ตลาด,พระประแดง,สมุทรปราการ,กลาง,13.66070782,100.5331297,
ชุมชนบางน้ำผึ้ง,บางน้ำผึ้ง,พระประแดง,สมุทรปราการ,กลาง,13.67965049,100.5766183,
ชุมชนบ้านสาขลา,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,กลาง,13.54176146,100.5042718,
ชุมชนคลองสรรพสามิต,แหลมฟ้าผ่า,พระสมุทรเจดีย์,สมุทรปราการ,กลาง,13.57033782,100.5638811,
ชุมชนประมงแหลมฟ้าผ่า,แหลมฟ้าผ่า,พระสมุทรเจดีย์,สมุทรปราการ,กลาง,13.54014378,100.5672535,
ชุมชนริมคลองบางน้อย,กระดังงา,บางคนที,สมุทรสงคราม,กลาง,13.46368132,99.94540242,
ชุมชนคลองบางนกแขวก,บางนกแขวก,บางคนที,สมุทรสงคราม,กลาง,13.49788472,99.92476064,
ชุมชนนาเกลือบางแก้ว,บางแก้ว,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.4189112,100.0289853,
ชุมชนบริเวณบางจะเกร็ง,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.38265204,99.99695322,
ชุมชนริมแม่น้ำแม่กลอง,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.38740072,99.98536506,
ชุมชนบริเวณเมืองเก่าแม่กลอง,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.40657808,99.99960255,
ชุมชนริมคลองแม่กลอง,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.41868985,99.99534801,
ชุมชนบริเวณแหลมใหญ่,แหลมใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,กลาง,13.3718077,99.98378009,
ชุมชนริมแควอ้อม,แควอ้อม,อัมพวา,สมุทรสงคราม,กลาง,13.43965125,99.94072583,
ชุมชนตลาดน้ำท่าคา,ท่าคา,อัมพวา,สมุทรสงคราม,กลาง,13.46895689,99.99362825,
ชุมชนริมคลองบางแค,บางแค,อัมพวา,สมุทรสงคราม,กลาง,13.42667812,99.94482189,
ชุมชนริมคลองบางจาก,บางช้าง,อัมพวา,สมุทรสงคราม,กลาง,13.43857864,99.94831533,
ชุมชนบ้านเขายี่สาร,ยี่สาร,อัมพวา,สมุทรสงคราม,กลาง,13.30147256,99.90161082,
ชุมชนริมคลองวัดประดู่ป่า,วัดประดู่,อัมพวา,สมุทรสงคราม,กลาง,13.42830104,99.890008,
ชุมชนริมคลองประชาชมชื่น,สวนหลวง,อัมพวา,สมุทรสงคราม,กลาง,13.41098362,99.94938995,
ชุมชนริมคลองอัมพวา,อัมพวา,อัมพวา,สมุทรสงคราม,กลาง,13.42724221,99.9575855,
ชุมชนริมคลองบางโพงพาง,อัมพวา,อัมพวา,สมุทรสงคราม,กลาง,13.40176708,99.94465991,
ชุมชนตลาดน้ำบ้านแพ้ว,หลักสาม,บ้านแพ้ว,สมุทรสาคร,กลาง,13.58957773,100.1054478,
ชุมชนตลาดมหาชัย (เดิม),มหาชัย,มหาชัย,สมุทรสาคร,กลาง,13.54622628,100.2776216,
ชุมชนท่าฉลอม,ท่าฉลอม,เมืองสมุทรสาคร,สมุทรสาคร,กลาง,13.53630338,100.2714501,27/9/2023
ตลาดชายแดนบ้านคลองลึก (โรงเกลือ),ท่าข้าม,อรัญประเทศ,สระแก้ว,ตะวันออก,13.66533552,102.5384296,
ตลาดอรัญประเทศ,อรัญประเทศ,อรัญประเทศ,สระแก้ว,ตะวันออก,13.68803421,102.5039136,
ชุมชนไทยวนริมแม่นํ้าป่าสัก,ต้นตลาด,เสาไห้,สระบุรี,กลาง,14.55254288,100.8807768,
ชุมชนบ้านแม่ลา,แม่ลา,บางระจัน,สิงห์บุรี,กลาง,14.94473121,100.3304188,
ชุมชนตลาดบ้านแป้ง,บ้านแป้ง,พรหมบุรี,สิงห์บุรี,กลาง,14.80698074,100.4398695,
ชุมชนตลาดปากบาง,พรหมบุรี,พรหมบุรี,สิงห์บุรี,กลาง,14.84704404,100.4427459,
ชุมชนตลาดตัวเมืองสิงห์บุรี,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,กลาง,14.89444384,100.3991926,
ชุมชนบ้านระนาม,ชีน้ำร้าย,อินทร์บุรี,สิงห์บุรี,กลาง,15.07183493,100.2974923,
ชุมชนย่านตลาดอินทร์บุรี,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,กลาง,15.01047814,100.331261,
ตลาดริมยม,กง,กงไกรลาศ,สุโขทัย,เหนือ,16.93405871,99.9583812,
บ้านทุ่งหลวง,ทุ่งหลวง,คีรีมาศ,สุโขทัย,เหนือ,16.87635741,99.79611098,
บ้านด่านลานหอย,ลานหอย,บ้านด่านลานหอย,สุโขทัย,เหนือ,16.99580599,99.57419827,
ชุมชนสถานีรถไฟศรีนคร/บ้านปลายราง,ศรีนคร,ศรีนคร,สุโขทัย,เหนือ,17.35088897,99.98249559,
ศรีสัชนาลัย,ศรีสัชนาลัย,ศรีสัชนาลัย,สุโขทัย,เหนือ,17.42778522,99.81974893,
วัดพระปรางค์,ศรีสัชนาลัย,ศรีสัชนาลัย,สุโขทัย,เหนือ,17.39925258,99.80504997,
บ้านหาดเสี้ยว,หาดเสี้ยว,ศรีสัชนาลัย,สุโขทัย,เหนือ,17.52411743,99.76365447,
ศรีสำโรง,ศรีสำโรง,ศรีสำโรง,สุโขทัย,เหนือ,17.16614657,99.86080525,
ตลาดใต้สวรรคโลก,เมืองสวรรคโลก,สวรรคโลก,สุโขทัย,เหนือ,17.31166319,99.82704162,
ชุมชนตลาดท่าช้าง,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,กลาง,14.86535793,100.0807384,
ชุมชนบ้านลานคา,โคกคราม,บางปลาม้า,สุพรรณบุรี,กลาง,14.40737552,100.1347871,
ชุมชนตลาดเก้าห้อง,บางปลาม้า,บางปลาม้า,สุพรรณบุรี,กลาง,14.4054246,100.1341245,
ชุมชนตลาดคอวัง,บ้านแหลม,บางปลาม้า,สุพรรณบุรี,กลาง,14.36572021,100.1487461,
ชุมชนตลาดบ้านสุด,ไผ่กองดิน,บางปลาม้า,สุพรรณบุรี,กลาง,14.33651404,100.2417223,
ชุมชนบ้านมะขามล้ม,มะขามล้ม,บางปลาม้า,สุพรรณบุรี,กลาง,14.3834332,100.0742169,
ชุมชนบ้านรางบัว,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,กลาง,14.33957505,100.0571204,
ชุมชนบ้านวัดโบสถ์,วัดโบสถ์,บางปลาม้า,สุพรรณบุรี,กลาง,14.33701109,100.0583634,
ชุมชนตลาดเมืองสุพรรณ,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,กลาง,14.46792632,100.1167797,
ชุมชนตลาดโพธิ์พระยา,โพธิ์พระยา,เมืองสุพรรณบุรี,สุพรรณบุรี,กลาง,14.53352371,100.1256069,
ชุมชนวัดกุฎีทอง,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,กลาง,14.45237789,100.1187351,
ชุมชนตลาดศรีประจันต์,ศรีประจันต์,ศรีประจันต์,สุพรรณบุรี,กลาง,14.61867059,100.1465457,
ชุมชนตลาดบางลี่,สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,กลาง,14.23179446,100.0368433,
ชุมชนตลาดสามชุก,สามชุก,สามชุก,สุพรรณบุรี,กลาง,14.75573292,100.0939968,
ชุมชนตลาดอู่ทอง,อู่ทอง,อู่ทอง,สุพรรณบุรี,กลาง,14.37511109,99.89633693,
ปากกะแดะ,กะแดะ,กาญจนดิษฐ์,สุราษฎร์ธานี,ใต้,9.207396219,99.47719112,
ปากน้ำท่าทอง,ท่าทอง,กาญจนดิษฐ์,สุราษฎร์ธานี,ใต้,9.232028054,99.50538105,
ท่าทองใหม่,ท่าทองใหม่,กาญจนดิษฐ์,สุราษฎร์ธานี,ใต้,9.15112745,99.3887532,
ท่าขนอน,ท่าขนอน,คีรีรัฐนิคม,สุราษฎร์ธานี,ใต้,9.032281242,98.95620684,
ตลาดไชยา,ตลาดไชยา,ไชยา,สุราษฎร์ธานี,ใต้,9.387773184,99.20736381,
พุมเรียง,พุมเรียง,ไชยา,สุราษฎร์ธานี,ใต้,9.385293154,99.25543306,
เกาะแรต,ดอนสัก,ดอนสัก,สุราษฎร์ธานี,ใต้,9.331361327,99.70387684,
นาสาร,นาสาร,นาสาร,สุราษฎร์ธานี,ใต้,8.803492467,99.36507299,
ท่าข้าม,ท่าข้าม,พุนพิน,สุราษฎร์ธานี,ใต้,9.106961207,99.23135274,
ลีเล็ด,ลีเล็ด,พุนพิน,สุราษฎร์ธานี,ใต้,9.187552528,99.25394263,
คลองน้อย,คลองน้อย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,ใต้,9.141114953,99.24819573,
บ้านหน้าด่าน,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,ใต้,9.150889977,99.32802249,
ตลาดบ้านดอน,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,ใต้,9.145799122,99.32557243,
บางหลา,บางชนะ,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,ใต้,9.151290311,99.31966572,
บางใบไม้,บางใบไม้,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,ใต้,9.146771587,99.29803624,
บ้านส้อง,บ้านส้อง,เวียงสระ,สุราษฎร์ธานี,ใต้,8.635085292,99.37016774,
ชุมชนพระปืด,บ้านแร่,เขวาสินรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.96640082,103.5830831,
ชุมชนปราสาทจอมพระ,จอมพระ,จอมพระ,สุรินทร์,ตะวันออกเฉียงเหนือ,15.1174785,103.6104531,
ชุมชนบ้านยะวึก,ยะวึก,ชุมพลบุรี,สุรินทร์,ตะวันออกเฉียงเหนือ,15.35265806,103.2425602,
ชุมชนรอบปราสาทบ้านพลวง,บ้านพลวง,ปราสาท,สุรินทร์,ตะวันออกเฉียงเหนือ,14.61050792,103.4258393,
ชุมชนบ้านปราสาท (ปราสาททนง),ปราสาททนง,ปราสาท,สุรินทร์,ตะวันออกเฉียงเหนือ,14.65773974,103.3545007,
ชุมชนบ้านแสลงพัน,แกใหญ่,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.91431859,103.534153,
ชุมชนโบราณบ้านแกใหญ่,แกใหญ่,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.9157553,103.49779,
ชุมชนริมถนนห่วยโหล่ว และชุมชนริมทางรถไฟ,ในเมือง,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.89112748,103.4913868,
ชุมชนรอบปราสาทเมืองที,เมืองที,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.89204236,103.6534192,
ชุมชนบ้านสลักได,สลักได,เมืองสุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,14.85348926,103.5345702,
ชุมชนบ้านช่างปี่,ช่างปี่,ศรีขรภูมิ,สุรินทร์,ตะวันออกเฉียงเหนือ,14.9341029,103.6963976,
ชุมชนบ้านตรึม,ตรึม,ศรีขรภูมิ,สุรินทร์,ตะวันออกเฉียงเหนือ,15.02157983,103.8558484,
ชุมชนบ้านปราสาท,ระแงง,ศรีขรภูมิ,สุรินทร์,ตะวันออกเฉียงเหนือ,14.94503959,103.8023636,
ชุมชนบ้านกระเทียม,กระเทียม,สังขะ,สุรินทร์,ตะวันออกเฉียงเหนือ,14.59438998,103.6853566,
ชุมชนปราสาทภูมิโปน,ดม,สังขะ,สุรินทร์,ตะวันออกเฉียงเหนือ,14.54529555,103.876186,
ชุมชนท่าบ่อ,ท่าบ่อ,ท่าบ่อ,หนองคาย,ตะวันออกเฉียงเหนือ,17.85324377,102.5818125,
ชุมชนการค้าเก่าถนนมีชัย,ในเมือง,เมืองหนองคาย,หนองคาย,ตะวันออกเฉียงเหนือ,17.88210366,102.7442764,
ชุมชนศรีเชียงใหม่,พานพร้าว,ศรีเชียงใหม่,หนองคาย,ตะวันออกเฉียงเหนือ,17.95688284,102.5803866,
ชุมชนโนนสัง,โนนสัง,โนนสัง,หนองบัวลำภู,ตะวันออกเฉียงเหนือ,16.8670556,102.5655222,
ย่านการค้าถนนอนาลโย,ลำภู,เมืองหนองบัวลำภู,หนองบัวลำภู,ตะวันออกเฉียงเหนือ,17.21018068,102.4423936,
ชุมชนบริเวณถนนวิไชยอุดรกิจ,ลำภู,เมืองหนองบัวลำภู,หนองบัวลำภู,ตะวันออกเฉียงเหนือ,17.2077237,102.4448757,
ชุมชนหมู่บ้านทำกลองเอกราช,เอกราช,ป่าโมก,อ่างทอง,กลาง,14.50552535,100.4269697,11/11/2022
ชุมชนท่าตลาด,อินทประมูล,โพธิ์ทอง,อ่างทอง,กลาง,14.65039905,100.4136092,
ชุมชนศาลเจ้าโรงทอง,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,อ่างทอง,กลาง,14.59333608,100.3527622,
ชุมชนบ้านชาด,เค็งใหญ่,หัวตะพาน,อำนาจเจริญ,ตะวันออกเฉียงเหนือ,15.90427076,104.259499,
ชุมชนตลาดล่างและหนองหานน้อยเมืองเก่ากุมภวาปี,กุมภวาปี,กุมภวาปี,อุดรธานี,ตะวันออกเฉียงเหนือ,17.11032152,103.0178793,
ชุมชนนายูง (ไทพวน),นายูง,นายูง,อุดรธานี,ตะวันออกเฉียงเหนือ,17.92989106,102.2104386,
ชุมชนบ้านดุง,บ้านดุง,บ้านดุง,อุดรธานี,ตะวันออกเฉียงเหนือ,17.70439675,103.2600242,
ชุมชนบ้านผือ,บ้านผือ,บ้านผือ,อุดรธานี,ตะวันออกเฉียงเหนือ,17.686867,102.4769506,
ชุมชนนาข่า,นาข่า,เมืองอุดรธานี,อุดรธานี,ตะวันออกเฉียงเหนือ,17.54910679,102.801619,
ชุมชนวังสามหมอ,วังสามหมอ,วังสามหมอ,อุดรธานี,ตะวันออกเฉียงเหนือ,16.95394146,103.4382415,
ชุมชนศรีธาตุ (ภูไท),ศรีธาตุ,ศรีธาตุ,อุดรธานี,ตะวันออกเฉียงเหนือ,16.97531607,103.2186814,
ชุมชนหนองหาน,หนองหาน,หนองหาน,อุดรธานี,ตะวันออกเฉียงเหนือ,17.3611063,103.1056935,
ตลาดสถานีรถไฟเมืองพิชัย/ชุมชนหลักเมือง,ในเมือง,พิชัย,อุตรดิตถ์,เหนือ,17.28632699,100.0854537,18/10/2023
ชุมชนบ้านคุ้งตะเภา,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,17.6405698,100.1232648,18/10/2023
บ้านท่าเสา,ท่าเสา,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,17.64845894,100.1231108,18/10/2023
ด่านนาขาม,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,17.72225783,100.1291426,18/10/2023
เมืองสวางคบุรี,ผาจุก,เมืองอุตรดิตถ์,อุตรดิตถ์,เหนือ,17.65330337,100.2207697,18/10/2023
ทุ่งยั้ง,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,เหนือ,17.60564299,100.0505881,18/10/2023
เมืองลับแล,ศรีพนมมาศ,ลับแล,อุตรดิตถ์,เหนือ,17.66385827,100.0325312,18/10/2023
บ้านโคกหม้อ,โคกหม้อ,ทัพทัน,อุทัยธานี,กลาง,15.53456702,99.90058323,
บ้านเจ้าวัดยางแดง,เจ้าวัด,บ้านไร่,อุทัยธานี,กลาง,15.12687856,99.33982012,
ชุมชนไทขาวหรือลาวพุทธ,ทัพคล้าย,บ้านไร่,อุทัยธานี,กลาง,15.05297103,99.58436255,
เรือนแพริมน้ำสะแกกรัง,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,กลาง,15.37820685,100.0361112,
ตลาดบ้านเก่าสะแกกรัง (ตรอกโรงยา),อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,กลาง,15.38216017,100.0282636,
บ้านเก่า,บ้านเก่า,หนองฉาง,อุทัยธานี,กลาง,15.40148368,99.8829418,
ชุมชนบ้านแคน,ดอนมดแดง,ดอนมดแดง,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.30817268,105.030868,
ชุมชนแก่งสะพือ,พิบูลมังสาหาร,พิบูลมังสาหาร,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.24622171,105.2361019,
ชุมชนบ้านปะอาว,ปะอาว,เมืองอุบลราชธานี,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.35752993,104.7251801,
ชุมชนพาณิชยกรรมเก่า,วารินชำราบ,วารินชำราบ,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.20025326,104.8632715,
